player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR
00-0030874,Damien Williams,RB,11,59.6,5.42,-121.4,-43.3,-1.369,-0.492
00-0033114,Michael Thomas,WR,5,3.8,0.76,-80.4,-44.3,-0.89,-0.503
00-0033891,Isaiah Jones,WR,12,66.1,5.51,-132.9,-45.9,-1.483,-0.508
00-0030737,Freddie Martino,WR,5,2.9,0.58,-83.0,-45.3,-0.909,-0.51
00-0031868,Damiere Byrd,WR,6,12.1,2.02,-88.7,-46.9,-0.968,-0.526
00-0032937,Max McCaffrey,WR,5,1.4,0.28,-81.0,-46.9,-0.891,-0.528
00-0033681,Keelan Cole,WR,13,78.1,6.01,-137.8,-45.4,-1.56,-0.53
00-0031166,Seth Roberts,WR,12,67.2,5.6,-131.7,-46.7,-1.483,-0.531
00-0033536,Michael Williams,WR,7,18.7,2.67,-97.2,-46.1,-1.101,-0.532
00-0032398,Christopher Moore,WR,10,47.4,4.74,-119.2,-46.1,-1.348,-0.535
00-0032661,Benjamin Braunecker,TE,5,0.0,0.0,-83.7,-47.8,-0.914,-0.536
00-0032250,Kasen Williams,WR,7,17.4,2.49,-95.4,-47.2,-1.081,-0.544
00-0028114,Dwayne Harris,WR,5,0.0,0.0,-82.5,-48.3,-0.908,-0.546
00-0033308,Matthew Breida,RB,13,74.3,5.72,-143.7,-48.8,-1.61,-0.547
00-0033009,Tyler Boyd,WR,8,27.5,3.44,-107.4,-49.5,-1.185,-0.557
00-0027994,Shane Vereen,RB,13,74.3,5.72,-144.3,-50.0,-1.619,-0.566
00-0031344,Cody Latimer,WR,10,44.7,4.47,-124.1,-49.7,-1.393,-0.566
00-0033069,Braxton Miller,WR,9,36.9,4.1,-113.5,-48.9,-1.287,-0.568
00-0030801,Brandon Coleman,WR,13,72.8,5.6,-142.8,-49.7,-1.613,-0.57
00-0031558,Maxx Williams,TE,8,25.7,3.21,-104.2,-49.5,-1.178,-0.57
00-0030670,Bennie Fowler,WR,13,72.4,5.57,-143.2,-50.1,-1.611,-0.57
00-0029141,Alfred Morris,RB,12,64.0,5.33,-132.9,-47.6,-1.532,-0.572
00-0032117,Nicklaus O'Leary,TE,12,58.8,4.9,-133.8,-50.9,-1.508,-0.576
00-0031228,Taylor Gabriel,WR,13,73.6,5.66,-142.0,-48.9,-1.622,-0.578
00-0033304,Devante Mays,RB,5,-3.1,-0.62,-85.8,-51.3,-0.946,-0.58
00-0031301,Jeremy Hill,RB,7,16.2,2.31,-100.3,-50.3,-1.138,-0.584
00-0033282,Curtis Samuel,WR,9,32.9,3.66,-114.0,-50.1,-1.314,-0.59
00-0032123,Douglas McBride,WR,8,22.4,2.8,-108.3,-51.2,-1.236,-0.591
00-0033307,Kendrick Bourne,WR,8,22.2,2.78,-109.7,-51.1,-1.253,-0.598
00-0031900,Roderick Smith,RB,13,73.7,5.67,-141.9,-48.9,-1.616,-0.599
00-0028702,Christopher Matthews,WR,6,5.5,0.92,-92.3,-52.3,-1.033,-0.6
00-0032659,Roger Lewis,WR,13,70.2,5.4,-145.7,-53.3,-1.635,-0.605
00-0031697,Jordan Taylor,WR,7,11.5,1.64,-103.0,-53.2,-1.158,-0.608
00-0028903,Garrett Celek,TE,13,68.0,5.23,-142.5,-52.2,-1.629,-0.618
