player_id,name,pos,gp,pts,WAA,WAR
00-0039798,Isaiah Davis,RB,26,76.4,-4.115,-1.901
00-0036194,Devin Asiasi,TE,18,0.0,-3.207,-1.904
00-0022943,Benjamin Watson,TE,85,639.5,-8.671,-1.909
00-0037257,David Bell,WR,25,69.9,-3.938,-1.91
00-0028115,Evan Royster,RB,22,34.4,-3.695,-1.912
00-0029209,Ryan Broyles,WR,27,86.0,-4.121,-1.913
00-0029854,Cortrelle Anderson,RB,71,507.7,-7.772,-1.915
00-0027325,LeGarrette Blount,RB,87,663.7,-9.272,-1.916
00-0032123,Douglas McBride,WR,20,22.4,-3.467,-1.916
00-0036365,Bryan Edwards,WR,29,114.6,-4.174,-1.917
00-0028007,Robert Housler,TE,42,220.7,-5.297,-1.922
00-0020494,Santana Moss,WR,39,206.8,-5.188,-1.925
00-0038797,Emanuel Wilson,RB,35,150.1,-4.973,-1.927
00-0036534,Shane Zylstra,TE,21,22.8,-3.47,-1.93
00-0031277,Branden Oliver,RB,34,155.8,-4.671,-1.936
00-0030801,Brandon Coleman,WR,39,208.9,-5.05,-1.936
00-0039364,Sione Vaki,RB,19,4.5,-3.516,-1.936
00-0031939,Matthew Jones,RB,37,184.5,-5.008,-1.938
00-0032630,Francis Callahan,QB,18,0.0,-3.639,-1.941
00-0036918,Jacob Harris,WR,18,1.6,-3.312,-1.947
00-0027583,Richard Brockel,TE,19,2.8,-3.469,-1.96
00-0038710,Blake Whiteheart,TE,21,18.6,-3.447,-1.964
00-0031912,Cameron Meredith,WR,34,159.9,-4.617,-1.966
00-0026267,Jacob Tamme,TE,62,421.5,-6.9,-1.969
00-0035308,Thomas Sweeney,TE,22,33.4,-3.545,-1.971
00-0023437,Ronnie Brown,RB,34,143.0,-4.708,-1.972
00-0026855,Antone Smith,RB,32,123.6,-4.575,-1.974
00-0030992,Crockett Gillmore,TE,35,160.1,-4.746,-1.974
00-0039407,Dylan Laube,RB,19,3.3,-3.529,-1.975
00-0036271,Terrance Watkins,WR,36,168.8,-4.908,-1.976
00-0035148,Darwin Thompson,RB,21,26.7,-3.634,-1.98
00-0031375,Terrance West,RB,47,267.7,-5.843,-1.994
00-0037272,Montrell Washington,WR,19,7.2,-3.452,-1.994
00-0027964,Jonathan Baldwin,WR,24,55.9,-3.97,-1.995
00-0036906,Khalil Herbert,RB,45,244.9,-5.886,-1.996
00-0035414,Jalen Guyton,WR,36,176.4,-4.876,-2.001
00-0026739,Jordan Norwood,WR,28,94.4,-4.251,-2.007
00-0030737,Freddie Martino,WR,21,25.7,-3.629,-2.007
00-0038589,Josh Whyle,TE,29,87.0,-4.093,-2.007
00-0031418,Austin Seferian-Jenkins,TE,50,296.9,-5.941,-2.01
00-0036482,Michael Strachan,WR,21,19.0,-3.708,-2.012
00-0026780,Kevin Ogletree,WR,32,132.9,-4.669,-2.013
00-0036841,Stephen Trammell,WR,22,23.8,-3.818,-2.013
00-0027651,Dexter McCluster,WR,55,358.1,-6.587,-2.014
00-0028409,DuJuan Harris,RB,25,55.5,-4.052,-2.015
00-0039363,Isaac Guerendo,RB,26,69.3,-4.194,-2.016
00-0027791,James Starks,RB,58,375.6,-6.743,-2.018
00-0036219,Marquez Callaway,WR,37,176.7,-5.015,-2.021
00-0020245,Michael Vick,QB,50,303.7,-6.815,-2.028
00-0026144,Darren McFadden,RB,68,467.4,-7.584,-2.032
00-0039623,Mason Tipton,WR,23,35.1,-3.86,-2.034
00-0034972,Alexander Mattison,RB,73,518.8,-8.315,-2.039
00-0038104,Tyquan Thornton,WR,35,144.2,-4.904,-2.041
00-0028112,Charles Clay,TE,103,817.3,-10.121,-2.046
00-0029654,Alfred Jenkins,WR,22,28.4,-3.849,-2.046
00-0031332,Fitzgerald Toussaint,RB,20,7.5,-3.645,-2.046
00-0028011,Stevan Ridley,RB,57,357.3,-6.696,-2.047
00-0028442,Ricardo Lockette,WR,26,66.4,-4.219,-2.048
00-0038359,Xavier Smith,WR,23,33.9,-3.87,-2.048
00-0029051,Jarrett Boykin,WR,31,112.9,-4.608,-2.05
00-0029623,Alex Tanney,QB,19,0.0,-3.855,-2.054
00-0030532,Stedman Bailey,WR,32,122.7,-4.767,-2.057
00-0031392,Adrion Archer,RB,21,9.5,-3.745,-2.061
00-0035593,Juwann Winfree,WR,20,8.7,-3.637,-2.064
00-0033069,Braxton Miller,WR,26,67.8,-4.099,-2.073
00-0030348,Khiry Robinson,RB,35,140.7,-4.975,-2.083
