season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2014,1,00-0031344,Cody Latimer,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0029119,Derek Carrier,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0020245,Michael Vick,QB,0.0,-17.99,-11.64,-0.1886,-0.1249,25.9,0
2014,1,00-0031387,Herman Ebron,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0029051,Jarrett Boykin,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0028063,Taiwan Jones,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0026189,DeSean Jackson,WR,13.3,-4.19,1.5,-0.0456,0.0164,25.9,1
2014,1,00-0023645,Derek Anderson,QB,17.2,-0.79,5.56,-0.0086,0.0604,25.9,1
2014,1,00-0027864,Ryan Mathews,RB,14.0,-4.1,2.4,-0.0447,0.0262,25.9,1
2014,1,00-0025637,Ahmad Bradshaw,RB,13.5,-4.6,1.9,-0.0501,0.0207,25.9,1
2014,1,00-0020531,Drew Brees,QB,15.52,-2.47,3.88,-0.0269,0.0422,25.9,1
2014,1,00-0025418,Greg Olsen,TE,26.3,7.41,14.7,0.0803,0.1561,25.9,1
2014,1,00-0029708,Kendall Wright,WR,16.6,-0.89,4.8,-0.0097,0.0522,25.9,1
2014,1,00-0028002,Randall Cobb,WR,17.8,0.31,6.0,0.0034,0.0652,25.9,1
2014,1,00-0020498,Reginald Wayne,WR,18.8,1.31,7.0,0.0143,0.0759,25.9,1
2014,1,00-0027061,Jared Cook,TE,11.6,-7.29,0.0,-0.079,0.0,25.9,0
2014,1,00-0019596,Thomas Brady,QB,10.26,-7.73,-1.38,-0.0837,-0.0151,25.9,0
2014,1,00-0029795,Benjamin Cunningham,RB,9.1,-9.0,-2.5,-0.0972,-0.0273,25.9,0
2014,1,00-0029675,Trenton Richardson,RB,8.1,-10.0,-3.5,-0.1078,-0.0381,25.9,0
2014,1,00-0022811,Jerricho Cotchery,WR,7.2,-10.29,-4.6,-0.1108,-0.05,25.9,0
2014,1,00-0029155,William Brown,WR,6.6,-10.89,-5.2,-0.117,-0.0565,25.9,0
2014,1,00-0029910,Timothy Wright,TE,6.0,-12.89,-5.6,-0.1377,-0.0609,25.9,0
2014,1,00-0031285,Devonta Freeman,RB,5.3,-12.8,-6.3,-0.1369,-0.0684,25.9,0
2014,1,00-0028434,Douglas Baldwin,WR,4.4,-13.09,-7.4,-0.1398,-0.0802,25.9,0
2014,1,00-0026178,John Carlson,TE,3.5,-15.39,-8.1,-0.163,-0.0876,25.9,0
2014,1,00-0027322,David Nelson,WR,2.7,-14.79,-9.1,-0.157,-0.0983,25.9,0
2014,1,00-0023752,Daniel Fells,TE,2.2,-16.69,-9.4,-0.1759,-0.1014,25.9,0
2014,1,00-0031301,Jeremy Hill,RB,1.9,-16.2,-9.7,-0.1711,-0.1046,25.9,0
2014,1,00-0029205,Travaris Cadet,RB,1.5,-16.6,-10.1,-0.1751,-0.1088,25.9,0
