player_id,name,pos,team,season,games,gp14,att_pg,car_pg,tgt_pg,tgt_share,ay_share,wopr,att,cmp_pct,ypa,pass_td_rate,int_rate,sack_rate,epa_db,cpoe,pacr,pass_fd_rate,pass_expl_rate,car,ypc,rush_td_rate,epa_car,rush_fd_rate,rush_expl_rate,tgt,rec,catch_rate,ypt,ypr,adot,racr,yac_rec,epa_tgt,rec_td_rate,rec_fd_rate,rec_expl_rate,fum_lost,wk_act,wk_res,wk_ina,wk_hurt,wk_bench,fp_ppr,fp_exp,fp_act,fp_diff,fp_exp_pg,exp_share,pass_fp_exp,rush_fp_exp,rec_fp_exp,td_exp,td_act,td_diff
00-0038705,Emari Demercado,RB,ARI,2024,13,13,0.0,1.85,1.54,0.05,0.007,0.0798,0,,,,,,,,,,,24,9.29,0.0417,0.5151,0.3333,0.25,20,16,0.8,5.2,6.5,1.3,4.0,5.94,-0.1674,0.0,0.15,0.05,0,13,4,0,4,0,54.7,42.1,54.7,12.5,3.24,0.0469,0.0,13.2,29.0,0.45,1.0,0.55
00-0036984,Trey Sermon,RB,IND,2024,14,10,0.0,4.0,1.36,0.0387,0.0007,0.0585,0,,,,,,,,,,,56,2.84,0.0357,-0.2007,0.25,0.0714,19,16,0.8421,5.21,6.19,0.32,16.5,6.19,-0.2879,0.0,0.1579,0.0,0,17,0,0,0,3,53.8,73.8,53.8,-20.0,5.27,0.0722,0.0,46.7,27.1,4.33,2.0,-2.33
00-0039373,Audric Estimé,RB,DEN,2024,13,9,0.0,5.85,0.38,0.0121,-0.005,0.0147,0,,,,,,,,,,,76,4.08,0.0263,-0.0978,0.1974,0.0658,5,5,1.0,5.4,5.4,-2.0,-2.7,7.4,-0.1531,0.0,0.4,0.0,1,13,4,0,4,0,48.7,49.0,48.7,-0.3,3.77,0.0506,0.0,41.2,7.8,1.64,2.0,0.36
00-0033280,Christian McCaffrey,RB,SF,2024,4,4,0.0,12.5,4.75,0.1787,0.065,0.3135,0,,,,,,,,,,,50,4.04,0.0,-0.0578,0.24,0.12,19,15,0.7895,7.68,9.73,3.16,2.433,6.53,-0.3043,0.0,0.3158,0.1053,1,4,12,1,13,0,47.8,57.4,47.8,-9.6,14.35,0.2423,0.0,27.9,29.5,1.32,0.0,-1.32
00-0039921,Trey Benson,RB,ARI,2024,12,11,0.0,5.25,0.5,0.0202,-0.0101,0.0232,0,,,,,,,,,,,63,4.62,0.0159,-0.0789,0.254,0.1587,6,6,1.0,9.83,9.83,-3.17,-3.105,13.0,0.5173,0.0,0.5,0.3333,0,14,1,2,3,2,47.0,43.1,47.0,3.9,3.59,0.0498,0.0,33.7,9.4,0.97,1.0,0.03
00-0039798,Isaiah Davis,RB,NYJ,2024,9,5,0.0,3.33,1.33,0.0368,0.0056,0.0591,0,,,,,,,,,,,30,5.8,0.0333,0.1471,0.3333,0.2667,12,9,0.75,6.25,8.33,1.33,4.688,8.33,0.4401,0.0833,0.3333,0.0833,0,17,0,0,0,8,45.9,35.8,45.9,10.1,3.98,0.0535,0.0,16.4,19.4,0.96,2.0,1.04
00-0037120,Tyler Goodson,RB,IND,2024,9,6,0.0,3.56,1.67,0.0452,0.0045,0.071,0,,,,,,,,,,,32,4.78,0.0312,0.084,0.1875,0.0938,15,11,0.7333,4.07,5.55,1.27,3.211,6.09,0.0869,0.0667,0.2,0.0667,0,17,0,0,0,8,44.4,42.6,44.4,1.8,4.73,0.0643,0.0,17.9,24.7,1.51,2.0,0.49
00-0037258,Dameon Pierce,RB,HOU,2024,9,6,0.0,4.44,0.44,0.0149,-0.0024,0.0206,0,,,,,,,,,,,40,7.33,0.05,0.177,0.175,0.15,4,2,0.5,0.5,1.0,-1.25,-0.4,2.5,-0.543,0.0,0.0,0.0,0,11,0,6,6,2,43.5,25.3,43.5,18.2,2.81,0.0386,0.0,19.5,5.8,0.49,2.0,1.51
00-0038685,Chris Brooks,RB,GB,2024,11,8,0.0,3.27,1.18,0.045,-0.013,0.0584,0,,,,,,,,,,,36,5.08,0.0278,0.133,0.3333,0.1111,13,11,0.8462,5.31,6.27,-1.69,-3.136,8.64,-0.2914,0.0,0.1538,0.0,0,15,0,0,0,4,42.2,44.0,42.2,-1.8,4.0,0.0587,0.0,23.7,20.4,1.79,1.0,-0.79
00-0030578,Cordarrelle Patterson,RB,PIT,2024,13,9,0.0,2.46,1.08,0.0359,0.0155,0.0646,0,,,,,,,,,,,32,4.22,0.0,-0.2452,0.2188,0.1875,14,12,0.8571,5.71,6.67,3.0,1.905,4.67,-0.3167,0.0714,0.3571,0.0714,1,13,0,4,4,0,37.5,39.9,37.5,-2.4,3.07,0.0475,0.0,17.5,22.4,0.93,1.0,0.07
