player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0035537,Ty Johnson,RB,13,30.9,2.38,-194.9,-91.8,-2.134,-1.027,,
00-0036857,Chris Evans,RB,11,12.8,1.16,-179.4,-92.6,-1.948,-1.029,,
00-0034418,Cedrick Wilson,WR,12,23.3,1.94,-181.7,-92.1,-1.996,-1.03,,
00-0031384,Richard Rodgers,TE,10,1.9,0.19,-155.0,-91.9,-1.708,-1.033,,
00-0033854,Oluwadare Ogunbowale,RB,13,31.2,2.4,-194.6,-93.3,-2.126,-1.038,,
00-0031598,Nicholas Boyle,TE,10,0.0,0.0,-160.8,-93.3,-1.769,-1.05,,
00-0034193,Kevin Rader,TE,10,0.0,0.0,-160.6,-94.5,-1.758,-1.058,,
00-0036425,DeeJay Dallas,RB,12,19.6,1.63,-189.0,-95.6,-2.058,-1.062,,
00-0036741,Jack Stoll,TE,13,26.7,2.05,-182.7,-96.0,-2.0,-1.063,,
00-0035973,Patrick Taylor,RB,10,0.6,0.06,-173.5,-95.9,-1.876,-1.065,,
00-0036332,Josiah Deguara,TE,13,27.1,2.08,-179.6,-96.3,-1.965,-1.068,,
00-0036825,Feleipe Franks,TE,10,0.0,0.0,-159.6,-95.7,-1.746,-1.069,,
00-0036187,Reggie Gilliam,RB,12,18.7,1.56,-188.4,-95.8,-2.055,-1.07,,
00-0037828,Danny Gray,WR,10,2.0,0.2,-168.9,-97.0,-1.836,-1.08,,
00-0036482,Michael Strachan,WR,11,8.9,0.81,-179.8,-97.2,-1.96,-1.083,,
00-0033386,Cody Hollister,WR,11,8.4,0.76,-179.3,-98.1,-1.944,-1.086,,
00-0037617,Hassan Haskins,RB,11,7.9,0.72,-185.1,-98.2,-2.004,-1.089,,
00-0035562,Jesper Horsted,TE,11,6.4,0.58,-170.1,-98.3,-1.853,-1.093,,
00-0030108,Ryan Griffin,TE,11,6.9,0.63,-164.0,-97.1,-1.814,-1.093,,
00-0032141,Geoffrey Swaim,TE,13,24.5,1.88,-183.2,-98.6,-2.013,-1.104,,
00-0036950,Avery Williams,RB,13,25.8,1.98,-199.4,-98.1,-2.193,-1.104,,
00-0037311,Ko Kieft,TE,13,24.5,1.88,-183.0,-99.6,-2.012,-1.114,,
00-0036450,Ke'Shawn Vaughn,RB,11,4.2,0.38,-188.2,-99.3,-2.06,-1.116,,
00-0037525,Jordan Mason,RB,12,15.3,1.27,-192.1,-101.0,-2.08,-1.117,,
00-0035628,D'Ernest Johnson,RB,11,5.4,0.49,-186.9,-100.0,-2.038,-1.12,,
00-0034011,Daniel Arnold,TE,13,23.8,1.83,-183.7,-100.3,-2.021,-1.122,,
00-0036387,Jalen Reagor,WR,13,23.2,1.78,-197.9,-100.5,-2.173,-1.126,,
00-0035993,Tyler Huntley,QB,13,21.2,1.63,-218.4,-102.5,-2.368,-1.138,,
00-0036020,Salvon Ahmed,RB,11,1.4,0.13,-186.4,-101.3,-2.043,-1.138,,
00-0037291,Jalen Nailor,WR,11,4.8,0.44,-184.3,-102.7,-2.002,-1.143,,
00-0035345,Christopher Myarick,TE,13,23.0,1.77,-187.0,-102.3,-2.05,-1.145,,
00-0036194,Devin Asiasi,TE,11,0.0,0.0,-177.8,-102.1,-1.961,-1.152,,
00-0033376,Patrick Ricard,RB,13,20.0,1.54,-205.8,-102.7,-2.26,-1.154,,
00-0028118,Tyrod Taylor,QB,12,10.3,0.86,-213.3,-104.1,-2.304,-1.157,,
00-0035399,Stanley Morgan,WR,11,0.0,0.0,-186.2,-103.6,-2.041,-1.162,,
00-0035771,Mitchell Wilcox,TE,13,19.0,1.46,-189.6,-103.6,-2.091,-1.164,,
00-0037011,Tre' McKitty,TE,13,18.7,1.44,-189.0,-103.2,-2.093,-1.166,,
00-0032156,Trevor Siemian,QB,12,10.2,0.85,-213.4,-104.7,-2.311,-1.169,,
00-0036569,Gary Brightwell,RB,13,20.9,1.61,-204.5,-104.8,-2.23,-1.17,,
00-0037331,Alexander Horvath,RB,13,18.6,1.43,-203.7,-103.8,-2.251,-1.176,,
00-0035645,Gunner Olszewski,WR,12,11.9,0.99,-193.6,-105.6,-2.11,-1.178,,
00-0035259,Trevon Wesco,TE,12,7.6,0.63,-184.0,-105.3,-2.023,-1.18,,
00-0035572,Parker Hesse,TE,13,18.0,1.38,-188.7,-105.4,-2.082,-1.186,,
00-0033949,Robert Dobbs,QB,11,0.0,0.0,-206.5,-107.6,-2.211,-1.19,,
00-0035217,Benjamin Snell,RB,13,18.7,1.44,-206.7,-107.0,-2.246,-1.193,,
00-0032450,Dwayne Washington,RB,12,5.5,0.46,-201.7,-107.6,-2.205,-1.205,,
00-0024243,Marcedes Lewis,TE,13,14.5,1.12,-192.2,-108.9,-2.109,-1.216,,
00-0038040,Zamir White,RB,12,6.2,0.52,-203.0,-109.6,-2.204,-1.22,,
00-0033292,Trent Taylor,WR,13,13.7,1.05,-206.2,-110.1,-2.256,-1.226,,
00-0034104,Cameron Sims,WR,13,14.3,1.1,-207.2,-110.4,-2.265,-1.231,,
00-0036877,Jaelon Darden,WR,12,4.8,0.4,-201.5,-111.2,-2.191,-1.237,,
00-0031484,Christopher Manhertz,TE,13,13.2,1.02,-194.3,-110.9,-2.133,-1.239,,
00-0037456,Troy Hairston,RB,12,4.2,0.35,-204.6,-111.7,-2.225,-1.246,,
00-0031690,Eric Tomlinson,TE,13,12.3,0.95,-197.7,-113.0,-2.156,-1.254,,
00-0037348,Tanner Conner,TE,12,0.0,0.0,-192.4,-113.6,-2.107,-1.271,,
00-0034955,Brett Rypien,QB,13,9.5,0.73,-231.9,-114.8,-2.502,-1.273,,
00-0036264,Jordan Love,QB,13,11.4,0.88,-229.6,-113.8,-2.496,-1.276,,
00-0038128,Malik Willis,QB,13,7.5,0.58,-233.6,-115.6,-2.524,-1.282,,
00-0035703,Miles Boykin,WR,12,2.1,0.18,-203.0,-115.1,-2.21,-1.285,,
00-0036250,Tyler Davis,TE,13,8.6,0.66,-198.1,-114.8,-2.175,-1.286,,
00-0036842,Kene Nwangwu,RB,13,7.6,0.58,-216.5,-115.5,-2.365,-1.292,,
00-0036887,Luke Farrell,TE,13,7.4,0.57,-200.1,-116.7,-2.187,-1.298,,
00-0032725,Stephen Anderson,TE,13,5.4,0.42,-204.1,-117.2,-2.236,-1.309,,
00-0037087,Trestan Ebner,RB,13,6.2,0.48,-219.0,-117.7,-2.39,-1.316,,
00-0036497,Tim Jones,WR,13,6.0,0.46,-216.3,-119.0,-2.357,-1.325,,
00-0033319,Nicholas Mullens,QB,13,2.0,0.16,-238.7,-119.6,-2.588,-1.334,,
00-0035726,Jakob Johnson,RB,13,4.7,0.36,-221.1,-119.8,-2.41,-1.338,,
00-0035264,Jarrett Stidham,QB,13,2.9,0.22,-238.2,-120.2,-2.582,-1.343,,
00-0035289,Gardner Minshew,QB,13,1.2,0.09,-239.6,-120.4,-2.598,-1.346,,
00-0037272,Montrell Washington,WR,13,7.2,0.55,-215.1,-120.6,-2.342,-1.346,,
00-0028986,Casey Keenum,QB,13,0.3,0.02,-240.5,-121.3,-2.606,-1.355,,
00-0033936,Casey Beathard,QB,13,0.1,0.01,-239.2,-122.8,-2.59,-1.369,,
00-0027948,Blaine Gabbert,QB,13,0.0,0.0,-239.4,-122.9,-2.591,-1.371,,
00-0035704,Paul Lock,QB,13,0.0,0.0,-239.4,-122.9,-2.591,-1.371,,
00-0032434,Brandon Allen,QB,13,0.8,0.06,-238.9,-123.0,-2.594,-1.375,,
00-0032792,Nathan Sudfeld,QB,13,-0.1,-0.01,-241.2,-123.2,-2.61,-1.375,,
00-0028063,Taiwan Jones,RB,13,0.0,0.0,-224.1,-123.1,-2.443,-1.375,,
00-0026544,William Daniel,QB,13,0.0,0.0,-238.8,-122.6,-2.606,-1.379,,
00-0037132,Britain Covey,WR,13,0.0,0.0,-221.1,-123.7,-2.412,-1.381,,
00-0026197,Chad Henne,QB,13,-0.3,-0.02,-239.1,-122.9,-2.609,-1.382,,
00-0037801,KaVontae Turpin,WR,13,3.6,0.28,-218.7,-124.2,-2.377,-1.384,,
00-0026293,Matthew Slater,WR,13,0.0,0.0,-219.9,-123.8,-2.404,-1.385,,
00-0036429,Charles Woerner,TE,13,0.0,0.0,-210.0,-125.3,-2.289,-1.396,,
00-0038122,Desmond Ridder,QB,13,0.0,0.0,-241.0,-125.2,-2.61,-1.399,,
