player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0025970,Caleb Hanie,QB,2,2.1,1.05,-29.7,-13.2,-0.346,-0.158,,
00-0027732,Michael Hoomanawanui,TE,7,52.1,7.44,-57.6,-13.3,-0.651,-0.159,,
00-0022714,Kristopher Wilson,TE,3,10.3,3.43,-33.3,-13.8,-0.382,-0.159,,
00-0024305,Maurice Stovall,WR,2,4.4,2.2,-29.9,-14.0,-0.335,-0.16,,
00-0025461,Yamon Figurs,WR,2,3.3,1.65,-32.6,-14.3,-0.361,-0.164,,
00-0027130,James Davis,RB,3,14.5,4.83,-39.4,-15.5,-0.425,-0.165,,
00-0027651,Dexter McCluster,WR,7,51.3,7.33,-70.3,-13.7,-0.804,-0.166,,
00-0022164,Kyle Boller,QB,2,-0.4,-0.2,-33.8,-14.4,-0.38,-0.167,,
00-0026819,Kareem Huggins,RB,2,2.8,1.4,-28.9,-14.4,-0.334,-0.17,,
00-0024535,Eric Weems,WR,3,12.1,4.03,-38.6,-15.3,-0.432,-0.173,,
00-0027059,Patrick Turner,WR,2,4.6,2.3,-31.0,-16.0,-0.33,-0.174,,
00-0026056,Gary Banks,WR,2,1.2,0.6,-30.7,-14.6,-0.361,-0.176,,
00-0026957,David Johnson,TE,3,10.6,3.53,-37.7,-16.1,-0.421,-0.179,,
00-0023429,Rashied Davis,WR,2,2.2,1.1,-32.1,-16.3,-0.344,-0.179,,
00-0027450,Preston Parker,WR,2,2.1,1.05,-32.7,-16.7,-0.347,-0.18,,
00-0027692,Armanti Edwards,WR,2,0.7,0.35,-33.4,-15.4,-0.385,-0.183,,
00-0023645,Derek Anderson,QB,12,87.1,7.26,-124.9,-15.0,-1.405,-0.186,,
00-0026204,Kevin Smith,RB,6,35.8,5.97,-65.6,-15.7,-0.754,-0.186,,
00-0019041,John Volek,QB,2,0.0,0.01,-34.9,-16.2,-0.391,-0.188,,
00-0026153,Jonathan Stewart,RB,11,80.3,7.3,-106.7,-17.1,-1.22,-0.195,,
00-0011754,Randy Moss,WR,12,94.5,7.87,-113.0,-17.5,-1.26,-0.196,,
00-0026878,Tom Crabtree,TE,3,8.5,2.83,-36.0,-16.5,-0.42,-0.196,,
00-0027714,Dennis Pitta,TE,2,1.6,0.8,-29.7,-17.0,-0.336,-0.197,,
00-0015754,Brandon Stokley,WR,9,63.3,7.03,-88.9,-16.5,-1.028,-0.198,,
00-0026366,Chazerny Schilens,WR,2,0.0,0.0,-32.3,-16.7,-0.374,-0.199,,
00-0025708,Matthew Moore,QB,6,30.8,5.13,-71.5,-16.2,-0.822,-0.2,,
00-0023797,Darcy Johnson,TE,2,0.0,0.0,-33.3,-18.1,-0.36,-0.2,,
00-0027696,Jimmy Graham,TE,9,63.9,7.1,-75.5,-17.7,-0.848,-0.2,,
00-0022064,Arnaz Battle,WR,2,0.0,0.0,-34.3,-18.5,-0.364,-0.2,,
00-0027585,Richard Goodman,WR,2,1.5,0.75,-35.6,-17.6,-0.395,-0.202,,
00-0027775,Russell Smith,QB,2,0.0,0.0,-37.5,-18.6,-0.393,-0.202,,
00-0024324,Jason Avant,WR,13,103.1,7.93,-120.6,-16.9,-1.366,-0.203,,
00-0021976,Larry Johnson,RB,2,0.2,0.1,-34.3,-17.7,-0.383,-0.204,,
00-0022901,Ernest Wilford,WR,2,1.3,0.65,-33.4,-18.9,-0.353,-0.205,,
00-0026745,Curtis Brinkley,RB,2,1.1,0.55,-35.8,-19.3,-0.377,-0.209,,
00-0023465,Earl Miller,TE,12,91.9,7.66,-98.9,-18.1,-1.122,-0.21,,
00-0004161,Jake Delhomme,QB,5,24.7,4.94,-60.0,-18.1,-0.687,-0.211,,
00-0027793,Antonio Brown,WR,4,16.0,4.0,-49.9,-18.8,-0.568,-0.216,,
00-0024276,Anthony Scheffler,TE,12,88.0,7.33,-102.6,-18.8,-1.17,-0.225,,
00-0026804,Ryan Purvis,TE,3,7.2,2.4,-38.2,-19.1,-0.444,-0.225,,
00-0025559,Legedu Naanee,WR,7,44.1,6.3,-73.1,-19.5,-0.823,-0.227,,
00-0026342,Leon Hart,RB,6,33.0,5.5,-67.4,-19.8,-0.773,-0.228,,
00-0025864,Jonathan Stupar,TE,5,24.4,4.88,-54.2,-20.2,-0.608,-0.229,,
00-0026536,Nick Miller,WR,3,7.0,2.33,-47.1,-20.1,-0.523,-0.23,,
00-0027063,Vincent Butler,WR,13,99.1,7.62,-122.9,-20.7,-1.376,-0.233,,
00-0026123,Evan Moore,TE,9,60.2,6.69,-82.9,-22.0,-0.921,-0.238,,
00-0027779,Deji Karim,RB,4,13.5,3.38,-50.3,-20.2,-0.584,-0.239,,
00-0025604,Tyler Thigpen,QB,4,14.8,3.71,-59.7,-21.7,-0.642,-0.244,,
00-0024272,Devin Hester,WR,13,99.8,7.68,-123.9,-20.2,-1.41,-0.248,,
00-0024236,Laurence Maroney,RB,4,15.4,3.85,-51.1,-21.6,-0.585,-0.255,,
00-0009119,Reginald Kelly,TE,4,13.8,3.45,-50.9,-23.7,-0.55,-0.258,,
00-0027681,Brandon LaFell,WR,11,74.2,6.75,-113.9,-23.0,-1.288,-0.259,,
00-0025460,Jacoby Jones,WR,12,86.7,7.23,-115.4,-24.4,-1.282,-0.263,,
00-0024321,Michael Mills,TE,3,4.9,1.63,-44.3,-24.1,-0.475,-0.263,,
00-0026221,Early Doucet,WR,9,59.8,6.64,-94.9,-21.8,-1.082,-0.265,,
00-0003315,Todd Collins,QB,2,-7.3,-3.64,-39.1,-22.5,-0.443,-0.265,,
00-0027712,Joseph McKnight,RB,3,4.6,1.53,-46.5,-22.2,-0.542,-0.266,,
00-0020332,David Martin,TE,5,19.3,3.86,-56.9,-23.4,-0.657,-0.272,,
00-0021147,Donte' Stallworth,WR,4,13.2,3.3,-56.3,-24.9,-0.61,-0.273,,
00-0017915,Errick Williams,RB,13,92.4,7.11,-133.1,-25.9,-1.472,-0.28,,
00-0027057,Brandon Tate,WR,12,82.5,6.88,-121.2,-26.8,-1.339,-0.283,,
00-0027874,Demaryius Thomas,WR,9,59.4,6.6,-98.7,-24.9,-1.092,-0.286,,
00-0026658,Zach Potter,TE,3,2.5,0.83,-41.9,-25.1,-0.469,-0.286,,
00-0026902,Ramses Barden,WR,4,11.4,2.85,-61.2,-25.2,-0.675,-0.287,,
00-0027518,Donald Jones,WR,6,31.1,5.18,-71.7,-25.0,-0.797,-0.288,,
00-0024529,Gijon Robinson,TE,4,9.6,2.4,-53.8,-25.7,-0.592,-0.29,,
00-0027690,Eric Decker,WR,4,10.4,2.6,-59.1,-25.1,-0.664,-0.291,,
00-0027125,Zach Miller,TE,9,58.5,6.5,-83.0,-24.2,-0.941,-0.292,,
00-0021304,John Gilmore,TE,7,36.7,5.24,-71.3,-24.7,-0.82,-0.292,,
00-0027685,Emmanuel Sanders,WR,8,50.8,6.35,-89.2,-24.4,-1.012,-0.294,,
00-0027202,Michael Palmer,TE,5,16.4,3.28,-60.3,-27.2,-0.665,-0.302,,
00-0026625,Brian Hoyer,QB,3,-2.5,-0.83,-52.6,-25.4,-0.605,-0.303,,
00-0020342,Brandon Manumaleuna,TE,5,17.8,3.56,-56.5,-26.2,-0.651,-0.305,,
00-0027109,James Casey,TE,5,18.2,3.64,-60.1,-28.4,-0.647,-0.306,,
00-0026314,Joshua Morgan,WR,13,93.1,7.16,-130.8,-26.9,-1.473,-0.307,,
